query_id,permutation_id,doc_1,click_prob_1,relevance_score1,doc_2,click_prob_2,relevance_score2,doc_3,click_prob_3,relevance_score3,doc_4,click_prob_4,relevance_score4,doc_5,click_prob_5,relevance_score5,doc_6,click_prob_6,relevance_score6,doc_7,click_prob_7,relevance_score7,doc_8,click_prob_8,relevance_score8,doc_9,click_prob_9,relevance_score9,doc_10,click_prob_10,relevance_score10
2,1,13,0,0.25,5,0,0.25,8,0,0.25,7,0,0.25,11,0,0.0,10,0,0.25,2,0,0.0,9,0,0.0,12,0,0.25,4,0,0.0
2,2,12,0,0.25,9,0,0.0,11,0,0.0,4,0,0.0,10,0,0.25,7,0,0.25,8,0,0.25,2,0,0.0,5,0,0.25,13,0,0.25
5,1,15,0,0.0,5,0,0.25,8,0,0.0,18,0,0.5,9,0,0.75,6,0,1.0,3,0,1.0,13,0,0.25,17,0,0.25,11,0,0.5
5,2,6,1,1.0,3,0,1.0,11,0,0.5,8,0,0.0,9,0,0.75,13,0,0.25,18,0,0.5,15,0,0.0,17,0,0.25,5,0,0.25
6,1,10,0,0.5,7,0,0.25,12,0,0.0,6,0,0.5,11,0,0.25,5,0,0.5,9,0,0.0,8,0,0.0,3,0,0.0,4,0,0.5
6,2,12,0,0.0,7,0,0.25,8,0,0.0,6,0,0.5,4,0,0.5,3,0,0.0,11,0,0.25,9,0,0.0,5,0,0.5,10,0,0.5
7,1,9,0,0.5,10,0,0.25,17,0,0.0,1,0,0.0,7,0,0.25,2,0,0.0,16,0,0.25,3,0,0.0,15,0,0.25,13,0,0.0
7,2,1,0,0.0,2,0,0.0,16,0,0.25,10,0,0.25,7,0,0.25,9,0,0.5,13,0,0.0,3,0,0.0,15,0,0.25,17,1,0.0
9,1,9,0,0.25,14,0,0.25,13,0,0.25,3,0,0.5,12,0,0.5,10,0,0.5,6,0,0.5,5,0,0.5,11,0,0.5,1,0,0.25
9,2,10,0,0.5,12,0,0.5,3,0,0.5,11,0,0.5,6,1,0.5,9,0,0.25,5,0,0.5,14,0,0.25,1,0,0.25,13,0,0.25
10,1,7,0,0.25,13,1,0.25,11,0,0.25,2,0,0.0,3,0,0.5,12,0,0.0,9,0,0.5,4,0,0.25,10,0,0.25,5,0,0.25
10,2,9,0,0.5,7,0,0.25,12,0,0.0,4,0,0.25,3,0,0.5,11,0,0.25,2,0,0.0,10,0,0.25,5,0,0.25,13,0,0.25
13,1,3,0,0.75,6,0,0.5,4,0,0.5,7,0,0.25,1,0,0.5,15,0,0.25,11,0,0.5,9,0,0.5,14,0,0.5,5,0,0.25
13,2,1,0,0.5,15,0,0.25,9,0,0.5,6,0,0.5,11,0,0.5,5,0,0.25,7,0,0.25,14,0,0.5,4,0,0.5,3,0,0.75
