query_id,permutation_id,doc_1,click_prob_1,relevance_score1,doc_2,click_prob_2,relevance_score2,doc_3,click_prob_3,relevance_score3,doc_4,click_prob_4,relevance_score4,doc_5,click_prob_5,relevance_score5,doc_6,click_prob_6,relevance_score6,doc_7,click_prob_7,relevance_score7,doc_8,click_prob_8,relevance_score8,doc_9,click_prob_9,relevance_score9,doc_10,click_prob_10,relevance_score10
2,1,13,0.109,1,5,0.098,1,8,0.077,1,7,0.054,1,11,0.028,0,10,0.032,1,2,0.011,0,9,0.01,0,12,0.013,1,4,0.006,0
2,2,12,0.109,1,9,0.061,0,11,0.048,0,4,0.034,0,10,0.045,1,7,0.032,1,8,0.018,1,2,0.01,0,5,0.013,1,13,0.01,1
5,1,15,0.068,0,5,0.098,1,8,0.048,0,18,0.095,2,9,0.146,3,6,0.2,4,3,0.11,4,13,0.016,1,17,0.013,1,11,0.017,2
5,2,6,0.68,4,3,0.61,4,11,0.134,2,8,0.034,0,9,0.146,3,13,0.032,1,18,0.031,2,15,0.01,0,17,0.013,1,5,0.01,1
6,1,10,0.19,2,7,0.098,1,12,0.048,0,6,0.095,2,11,0.045,1,5,0.056,2,9,0.011,0,8,0.01,0,3,0.008,0,4,0.017,2
6,2,12,0.068,0,7,0.098,1,8,0.048,0,6,0.095,2,4,0.078,2,3,0.02,0,11,0.018,1,9,0.01,0,5,0.022,2,10,0.017,2
7,1,9,0.19,2,10,0.098,1,17,0.048,0,1,0.034,0,7,0.045,1,2,0.02,0,16,0.018,1,3,0.01,0,15,0.013,1,13,0.006,0
7,2,1,0.068,0,2,0.061,0,16,0.077,1,10,0.054,1,7,0.045,1,9,0.056,2,13,0.011,0,3,0.01,0,15,0.013,1,17,0.006,0
9,1,9,0.109,1,14,0.098,1,13,0.077,1,3,0.095,2,12,0.078,2,10,0.056,2,6,0.031,2,5,0.028,2,11,0.022,2,1,0.01,1
9,2,10,0.19,2,12,0.171,2,3,0.134,2,11,0.095,2,6,0.078,2,9,0.032,1,5,0.031,2,14,0.016,1,1,0.013,1,13,0.01,1
10,1,7,0.109,1,13,0.098,1,11,0.077,1,2,0.034,0,3,0.078,2,12,0.02,0,9,0.031,2,4,0.016,1,10,0.013,1,5,0.01,1
10,2,9,0.19,2,7,0.098,1,12,0.048,0,4,0.054,1,3,0.078,2,11,0.032,1,2,0.011,0,10,0.016,1,5,0.013,1,13,0.01,1
13,1,3,0.354,3,6,0.171,2,4,0.134,2,7,0.054,1,1,0.078,2,15,0.032,1,11,0.031,2,9,0.028,2,14,0.022,2,5,0.01,1
13,2,1,0.19,2,15,0.098,1,9,0.134,2,6,0.095,2,11,0.078,2,5,0.032,1,7,0.018,1,14,0.028,2,4,0.022,2,3,0.031,3
14,1,7,0.109,1,6,0.061,0,2,0.134,2,10,0.054,1,4,0.028,0,5,0.2,4,1,0.018,1,9,0.01,0,11,0.08,4,8,0.006,0
14,2,11,0.68,4,4,0.061,0,5,0.48,4,7,0.054,1,6,0.028,0,2,0.056,2,9,0.011,0,1,0.016,1,10,0.013,1,8,0.006,0
15,1,6,0.19,2,10,0.171,2,16,0.134,2,12,0.054,1,9,0.078,2,17,0.032,1,21,0.018,1,13,0.052,3,19,0.013,1,2,0.01,1
15,2,9,0.19,2,10,0.171,2,16,0.134,2,12,0.054,1,17,0.045,1,6,0.056,2,19,0.018,1,21,0.016,1,13,0.042,3,2,0.01,1
16,1,13,0.068,0,12,0.061,0,6,0.048,0,11,0.034,0,1,0.045,1,7,0.02,0,5,0.011,0,8,0.028,2,14,0.013,1,10,0.01,1
16,2,12,0.068,0,13,0.061,0,6,0.048,0,7,0.034,0,5,0.028,0,10,0.032,1,14,0.018,1,1,0.016,1,8,0.022,2,11,0.006,0
17,1,17,0.109,1,21,0.098,1,5,0.077,1,14,0.054,1,1,0.045,1,15,0.032,1,13,0.018,1,19,0.016,1,20,0.013,1,6,0.01,1
17,2,15,0.109,1,14,0.098,1,20,0.077,1,5,0.054,1,19,0.045,1,21,0.032,1,13,0.018,1,1,0.016,1,6,0.013,1,17,0.01,1
19,1,12,0.109,1,9,0.171,2,7,0.134,2,10,0.34,4,1,0.078,2,3,0.032,1,13,0.057,3,2,0.016,1,14,0.013,1,8,0.017,2
19,2,13,0.354,3,8,0.171,2,14,0.077,1,7,0.095,2,2,0.045,1,1,0.056,2,12,0.018,1,3,0.016,1,9,0.022,2,10,0.06,4
20,1,3,0.19,2,5,0.098,1,9,0.134,2,1,0.054,1,10,0.045,1,8,0.032,1,6,0.018,1,11,0.016,1,7,0.013,1,2,0.017,2
20,2,5,0.109,1,3,0.171,2,2,0.134,2,9,0.095,2,8,0.045,1,11,0.032,1,1,0.018,1,6,0.016,1,7,0.013,1,10,0.01,1
21,1,1,0.068,0,12,0.171,2,5,0.077,1,19,0.034,0,13,0.028,0,3,0.02,0,2,0.031,2,20,0.01,0,15,0.008,0,8,0.017,2
21,2,13,0.068,0,2,0.171,2,15,0.048,0,19,0.034,0,20,0.028,0,8,0.056,2,5,0.018,1,12,0.028,2,1,0.008,0,3,0.006,0
22,1,5,0.109,1,11,0.171,2,4,0.077,1,16,0.095,2,6,0.146,3,10,0.056,2,2,0.011,0,14,0.052,3,13,0.022,2,15,0.031,3
22,2,11,0.19,2,5,0.098,1,14,0.25,3,4,0.054,1,10,0.078,2,13,0.056,2,15,0.057,3,2,0.01,0,16,0.022,2,6,0.031,3
23,1,6,0.109,1,13,0.171,2,3,0.134,2,1,0.054,1,5,0.045,1,9,0.056,2,11,0.011,0,12,0.016,1,8,0.022,2,2,0.01,1
23,2,6,0.109,1,1,0.098,1,3,0.134,2,12,0.054,1,8,0.078,2,5,0.032,1,2,0.018,1,11,0.01,0,9,0.022,2,13,0.017,2
24,1,20,0.19,2,1,0.061,0,3,0.077,1,13,0.054,1,5,0.028,0,9,0.032,1,16,0.018,1,2,0.016,1,14,0.013,1,4,0.01,1
24,2,5,0.068,0,20,0.171,2,9,0.077,1,14,0.054,1,2,0.045,1,3,0.032,1,16,0.018,1,13,0.016,1,1,0.008,0,4,0.01,1
25,1,10,0.19,2,9,0.098,1,17,0.134,2,11,0.054,1,15,0.078,2,18,0.056,2,2,0.018,1,3,0.028,2,5,0.022,2,12,0.017,2
25,2,15,0.19,2,3,0.171,2,10,0.134,2,5,0.095,2,9,0.045,1,18,0.056,2,12,0.031,2,11,0.016,1,17,0.022,2,2,0.01,1
26,1,18,0.109,1,21,0.061,0,9,0.048,0,6,0.034,0,3,0.028,0,17,0.032,1,5,0.011,0,7,0.016,1,4,0.008,0,14,0.006,0
26,2,17,0.109,1,5,0.061,0,4,0.048,0,18,0.054,1,9,0.028,0,7,0.032,1,14,0.011,0,3,0.01,0,21,0.008,0,6,0.006,0
27,1,11,0.354,3,5,0.317,3,4,0.134,2,7,0.34,4,12,0.078,2,3,0.056,2,10,0.057,3,6,0.016,1,9,0.013,1,8,0.031,3
27,2,10,0.354,3,9,0.098,1,8,0.25,3,6,0.054,1,12,0.078,2,5,0.104,3,3,0.031,2,7,0.1,4,11,0.042,3,4,0.017,2
28,1,12,0.109,1,8,0.098,1,6,0.048,0,9,0.034,0,17,0.028,0,13,0.02,0,10,0.031,2,16,0.016,1,3,0.008,0,15,0.01,1
28,2,9,0.068,0,15,0.098,1,10,0.134,2,8,0.054,1,17,0.028,0,3,0.02,0,12,0.018,1,6,0.01,0,16,0.013,1,13,0.006,0
29,1,7,0.068,0,6,0.098,1,3,0.077,1,8,0.054,1,10,0.045,1,1,0.02,0,5,0.011,0,2,0.01,0,9,0.013,1,4,0.006,0
29,2,4,0.068,0,1,0.061,0,5,0.048,0,2,0.034,0,7,0.028,0,3,0.032,1,8,0.018,1,10,0.016,1,6,0.013,1,9,0.01,1
30,1,7,0.354,3,12,0.171,2,5,0.077,1,8,0.054,1,13,0.146,3,9,0.104,3,1,0.031,2,6,0.1,4,3,0.042,3,11,0.017,2
30,2,11,0.19,2,6,0.61,4,8,0.077,1,1,0.095,2,7,0.146,3,12,0.056,2,5,0.018,1,13,0.052,3,9,0.042,3,3,0.031,3
31,1,2,0.354,3,5,0.61,4,12,0.25,3,6,0.095,2,10,0.146,3,11,0.104,3,9,0.031,2,7,0.028,2,4,0.013,1,3,0.031,3
31,2,3,0.354,3,6,0.171,2,7,0.134,2,11,0.177,3,9,0.078,2,10,0.104,3,5,0.11,4,4,0.016,1,12,0.042,3,2,0.031,3
32,1,9,0.68,4,1,0.317,3,12,0.25,3,13,0.054,1,4,0.045,1,6,0.104,3,8,0.057,3,5,0.052,3,7,0.013,1,3,0.017,2
32,2,6,0.354,3,3,0.171,2,4,0.077,1,8,0.177,3,5,0.146,3,1,0.104,3,9,0.11,4,13,0.016,1,12,0.042,3,7,0.01,1
33,1,5,0.109,1,4,0.171,2,10,0.077,1,11,0.054,1,9,0.045,1,13,0.032,1,12,0.018,1,6,0.016,1,2,0.013,1,3,0.017,2
33,2,3,0.19,2,9,0.098,1,10,0.077,1,6,0.054,1,12,0.045,1,4,0.056,2,5,0.018,1,13,0.016,1,11,0.013,1,2,0.01,1
34,1,11,0.19,2,4,0.098,1,23,0.077,1,20,0.177,3,3,0.045,1,19,0.056,2,12,0.031,2,9,0.016,1,10,0.042,3,21,0.01,1
34,2,3,0.109,1,11,0.171,2,12,0.134,2,21,0.054,1,4,0.045,1,20,0.104,3,19,0.031,2,23,0.016,1,9,0.013,1,10,0.031,3
35,1,13,0.068,0,10,0.061,0,4,0.048,0,18,0.034,0,11,0.028,0,9,0.032,1,2,0.011,0,17,0.01,0,12,0.008,0,15,0.006,0
35,2,13,0.068,0,9,0.098,1,12,0.048,0,10,0.034,0,4,0.028,0,15,0.02,0,18,0.011,0,2,0.01,0,17,0.008,0,11,0.006,0
36,1,12,0.19,2,7,0.317,3,5,0.077,1,8,0.177,3,1,0.146,3,10,0.104,3,11,0.031,2,13,0.016,1,6,0.022,2,3,0.031,3
36,2,13,0.109,1,10,0.317,3,7,0.25,3,6,0.095,2,12,0.078,2,5,0.032,1,8,0.057,3,11,0.028,2,1,0.042,3,3,0.031,3
37,1,20,0.19,2,19,0.098,1,17,0.077,1,3,0.095,2,10,0.078,2,18,0.032,1,1,0.018,1,8,0.028,2,4,0.022,2,5,0.01,1
37,2,4,0.19,2,1,0.098,1,3,0.134,2,5,0.054,1,19,0.045,1,8,0.056,2,18,0.018,1,20,0.028,2,10,0.022,2,17,0.01,1
38,1,6,0.19,2,12,0.317,3,7,0.134,2,4,0.054,1,1,0.028,0,5,0.032,1,2,0.011,0,11,0.016,1,8,0.022,2,3,0.017,2
38,2,4,0.109,1,3,0.171,2,2,0.048,0,7,0.095,2,1,0.028,0,12,0.104,3,11,0.018,1,6,0.028,2,5,0.013,1,8,0.017,2
39,1,4,0.19,2,22,0.098,1,14,0.077,1,11,0.054,1,19,0.078,2,10,0.056,2,6,0.018,1,9,0.028,2,17,0.022,2,15,0.01,1
39,2,6,0.109,1,11,0.098,1,9,0.134,2,4,0.095,2,19,0.078,2,22,0.032,1,15,0.018,1,14,0.016,1,17,0.022,2,10,0.017,2
40,1,7,0.109,1,8,0.171,2,6,0.077,1,5,0.054,1,3,0.045,1,13,0.032,1,10,0.018,1,1,0.016,1,9,0.08,4,14,0.017,2
40,2,9,0.68,4,10,0.098,1,8,0.134,2,3,0.054,1,1,0.045,1,14,0.056,2,6,0.018,1,7,0.016,1,5,0.013,1,13,0.01,1
41,1,12,0.19,2,10,0.171,2,1,0.134,2,2,0.095,2,8,0.045,1,5,0.032,1,9,0.018,1,7,0.016,1,11,0.013,1,13,0.006,0
41,2,1,0.19,2,9,0.098,1,10,0.134,2,12,0.095,2,5,0.045,1,2,0.056,2,7,0.018,1,13,0.01,0,8,0.013,1,11,0.01,1
42,1,7,0.19,2,16,0.098,1,11,0.25,3,4,0.177,3,18,0.078,2,6,0.032,1,14,0.031,2,2,0.028,2,23,0.013,1,17,0.01,1
42,2,11,0.354,3,2,0.171,2,14,0.134,2,4,0.177,3,7,0.078,2,17,0.032,1,18,0.031,2,16,0.016,1,6,0.013,1,23,0.01,1
43,1,7,0.354,3,11,0.171,2,9,0.077,1,6,0.177,3,2,0.146,3,12,0.104,3,1,0.031,2,5,0.052,3,4,0.042,3,8,0.017,2
43,2,9,0.109,1,1,0.171,2,11,0.134,2,4,0.177,3,8,0.078,2,6,0.104,3,12,0.057,3,7,0.052,3,5,0.042,3,2,0.031,3
44,1,9,0.109,1,8,0.098,1,14,0.077,1,4,0.054,1,13,0.045,1,10,0.056,2,5,0.011,0,11,0.016,1,12,0.013,1,6,0.01,1
44,2,9,0.109,1,6,0.098,1,5,0.048,0,10,0.095,2,4,0.045,1,8,0.032,1,13,0.018,1,11,0.016,1,12,0.013,1,14,0.01,1
