query_id,relevance_score,document_no,score
2,1,13,2.67169454
2,1,10,2.64662921
2,1,12,2.61573629
2,0,2,2.29295114
2,1,5,2.19351873
2,0,9,1.95575423
2,0,11,1.86919548
2,1,8,1.80970358
2,1,7,1.79823454
2,0,4,1.7963451
5,0,8,3.66590801
5,4,3,3.51499653
5,3,9,3.4243975
5,4,6,3.34819487
5,2,18,3.25317732
5,0,15,3.00328547
5,1,17,2.79896367
5,2,11,2.75761926
5,1,13,2.74183187
5,1,5,2.63406481
6,2,6,2.59882604
6,1,11,2.22206079
6,2,4,1.94752691
6,1,7,1.81812825
6,0,8,1.76992315
6,0,3,1.68832774
6,2,10,1.54624391
6,2,5,1.52223814
6,0,9,1.48189793
6,0,12,1.47618892
7,2,9,3.62301537
7,0,1,3.22054872
7,1,15,3.15066565
7,1,7,3.10608716
7,0,17,2.58073069
7,0,13,2.48477656
7,0,3,2.32894272
7,1,16,2.28641835
7,1,10,2.26678021
7,0,2,2.26116103
9,2,6,2.0574378
9,1,14,1.87068394
9,1,13,1.86220391
9,2,11,1.77464887
9,2,10,1.76224339
9,2,5,1.70739276
9,2,12,1.49775996
9,2,3,1.40685869
9,1,9,1.14630219
9,1,1,1.07169249
10,2,3,2.95105569
10,1,10,2.51073705
10,1,4,2.34984519
10,2,9,2.27993701
10,0,2,2.22078148
10,1,7,2.16605842
10,0,12,2.06668482
10,1,5,1.90122779
10,1,13,1.8013296
10,1,11,1.77802124
13,3,3,3.79864329
13,2,1,3.26563904
13,1,15,3.07468863
13,1,5,3.02670549
13,2,11,2.93030613
13,2,4,2.88789242
13,1,7,2.80874002
13,2,9,2.73579403
13,2,6,2.67043737
13,2,14,2.65809128
14,1,7,2.93390089
14,1,10,2.79513245
14,4,5,2.46662778
14,0,8,2.42007226
14,1,1,2.20089744
14,4,11,2.13371026
14,2,2,2.01607912
14,0,9,1.58708992
14,0,6,1.47001139
14,0,4,1.15678651
15,2,16,3.61945969
15,2,6,3.519014
15,3,13,2.78491956
15,1,19,2.68764938
15,1,2,2.23688721
15,2,10,2.22326053
15,1,12,2.2195934
15,2,9,2.16108527
15,1,21,2.10809302
15,1,17,2.04904701
16,1,14,2.72672028
16,1,10,2.71310536
16,0,6,2.50341166
16,0,7,2.18456196
16,0,11,2.15420415
16,1,1,2.14585544
16,0,5,2.14410943
16,0,13,2.1280214
16,0,12,2.11342653
16,2,8,2.10360393
17,1,1,3.19719806
17,1,14,3.04725487
17,1,20,2.9630161
17,1,17,2.69236393
17,1,13,2.67655739
17,1,5,2.65737507
17,1,21,2.57823398
17,1,19,2.56666129
17,1,15,2.44630382
17,1,6,2.42192509
19,4,10,2.75842792
19,3,13,2.50841738
19,1,2,2.12931431
19,2,1,1.82668302
19,1,12,1.79924734
19,1,3,1.70320651
19,1,14,1.41022531
19,2,7,1.40550911
19,2,8,1.38316513
19,2,9,1.34841575
20,1,11,3.24476894
20,1,5,3.23174109
20,2,2,3.0573644
20,1,8,2.96100183
20,1,10,2.90899395
20,1,7,2.87330413
20,2,3,2.85955605
20,1,1,2.84031885
20,2,9,2.788941
20,1,6,1.05806483
21,2,8,2.53466188
21,0,3,2.40212374
21,0,19,2.33719462
21,0,20,2.2982987
21,0,15,2.26357597
21,2,2,2.24362807
21,0,13,2.21073022
21,2,12,2.16559516
21,1,5,2.1153274
21,0,1,2.04112957
22,2,13,4.25992597
22,3,6,4.0247831
22,2,16,4.02474298
22,3,15,3.70436611
22,0,2,3.69618543
22,2,10,3.34218295
22,1,5,3.20329093
22,3,14,3.13156065
22,2,11,3.1284549
22,1,4,3.09414365
23,2,13,3.05907595
23,1,6,2.90015041
23,2,9,2.80480246
23,2,3,2.64270286
23,1,1,2.44192695
23,2,8,2.30854369
23,1,5,2.19006973
23,1,2,2.1853065
23,0,11,2.16753447
23,1,12,1.98137513
24,2,20,3.28896402
24,0,1,2.24114381
24,1,13,2.12752622
24,0,5,2.11292266
24,1,4,2.1107488
24,1,2,2.05225329
24,1,9,2.00199812
24,1,3,1.91600572
24,1,14,1.70342185
24,1,16,1.66404604
25,2,12,3.57845523
25,2,5,3.45354862
25,2,18,3.37520277
25,2,3,3.34994453
25,2,15,3.31481857
25,1,11,3.27299872
25,1,9,3.20464541
25,2,17,3.19058919
25,1,2,3.15598856
25,2,10,3.13912359
26,0,4,1.92837252
26,0,14,1.92801489
26,0,9,1.8420161
26,1,7,1.74373142
26,1,18,1.74358466
26,1,17,1.72146131
26,0,21,1.69718689
26,0,6,1.68342598
26,0,3,1.62470022
26,0,5,1.61826942
27,4,7,4.12997969
27,3,11,3.99851012
27,3,10,3.9050853
27,3,8,3.20903978
27,2,3,3.14474117
27,1,6,3.09420384
27,3,5,3.06056755
27,1,9,2.94130728
27,2,4,2.79677369
27,2,12,2.67758331
28,1,12,1.90518666
28,2,10,1.83288496
28,1,15,1.76312361
28,1,16,1.71334168
28,1,8,1.63799871
28,0,13,1.62566023
28,0,6,1.55879692
28,0,17,1.54120263
28,0,9,1.46239223
28,0,3,1.45756306
29,1,8,1.93669051
29,0,2,1.91084532
29,1,9,1.83038138
29,1,6,1.75215747
29,1,10,1.6943327
29,1,3,1.45061196
29,0,4,1.43358794
29,0,5,1.36996596
29,0,7,1.12276463
29,0,1,0.9309025
30,4,6,3.67454842
30,3,3,3.32464301
30,3,9,3.30172536
30,2,11,3.21008153
30,3,13,3.15359304
30,2,12,3.14377915
30,2,1,3.01422281
30,3,7,2.95566451
30,1,8,2.64527111
30,1,5,2.36545961
31,4,5,4.23368678
31,3,11,4.15086817
31,3,12,4.12600375
31,3,3,3.77479916
31,2,6,3.75717602
31,3,10,3.3875864
31,3,2,3.1063086
31,2,9,3.07390796
31,2,7,3.05206087
31,1,4,2.85065355
32,4,9,4.41067097
32,3,5,4.35410739
32,2,3,4.25431682
32,3,6,4.24517682
32,3,8,4.08521454
32,3,1,4.07212827
32,3,12,3.87517619
32,1,13,3.61658015
32,1,7,3.45866505
32,1,4,3.27378258
33,1,6,3.32471474
33,1,10,2.90954803
33,1,5,2.69167056
33,1,9,2.43870046
33,1,2,2.38494388
33,1,13,2.37421611
33,2,3,2.09563777
33,1,12,2.01244339
33,1,11,2.00674604
33,2,4,1.97513343
34,2,12,2.65089838
34,3,10,2.32706914
34,2,19,2.32706914
34,1,21,2.27729887
34,1,4,2.24589758
34,1,3,2.22760268
34,2,11,2.16579851
34,3,20,2.03223045
34,1,9,2.02360156
34,1,23,1.99300485
35,1,9,0.68351868
35,0,13,0.33451863
35,0,2,0.3158892
35,0,18,0.26691394
35,0,12,0.22173279
35,0,15,0.16810698
35,0,10,0.15066966
35,0,17,0.14828619
35,0,11,0.1323063
35,0,4,0.10720636
36,2,11,4.47888882
36,3,3,4.02824932
36,3,7,3.89490699
36,2,6,3.67851558
36,2,12,3.27898154
36,3,1,3.27316116
36,1,13,3.22964934
36,1,5,3.18965858
36,3,8,2.90072239
36,3,10,2.88038269
37,2,20,2.72885432
37,2,3,2.71748462
37,1,5,2.66158811
37,2,10,2.56025342
37,2,4,2.33228548
37,1,1,2.25199939
37,2,8,2.10720818
37,1,18,2.06043177
37,1,17,1.97863282
37,1,19,1.97238401
38,1,4,2.34598666
38,2,7,2.11129531
38,1,5,2.0769646
38,2,8,1.96929981
38,2,3,1.96645925
38,0,2,1.91826118
38,2,6,1.88527828
38,0,1,1.74661487
38,3,12,1.72095894
38,1,11,1.33637038
39,2,9,4.34659731
39,2,10,3.63490531
39,1,15,3.56586476
39,1,22,3.40431683
39,2,19,3.3674453
